Wine;link;image_names;image_link
White Sushi Wine N.V.;https://www.vivino.com/IT/en/umi-white-sushi-wine-nv/w/3830847;images/WhiteSushiWineN.V..png;https://images.vivino.com/thumbs/zc1wzl67QkuoJrkBiwUSEg_pb_x600.png
Fragolino N.V.;https://www.vivino.com/IT/en/santero-fragolino-nv/w/1417142;images/FragolinoN.V..png;https://images.vivino.com/thumbs/fgUOE94-Tna3gznoOM8qOA_pb_x600.png
Il Sendallo Chardonnay 2022;https://www.vivino.com/IT/en/cantine-povero-asti-chardonnay-il-sendallo-2022/w/5492952;images/IlSendalloChardonnay2022.png;https://images.vivino.com/thumbs/CdCmqwMpSXmAmdXx0hCeBg_pb_x600.png
Buon Paggio Grignolino Piemonte 2022;https://www.vivino.com/IT/en/cantine-povero-asti-buon-paggio-grignolino-piemonte-2022/w/6364867;images/BuonPaggioGrignolinoPiemonte2022.png;https://images.vivino.com/thumbs/59Y0FaE4SAmupudkD041CA_pb_x600.png
Contrada Maestra Barbera d'Asti 2022;https://www.vivino.com/IT/en/cantine-povero-asti-contrada-maestra-barbera-dasti-2022/w/6364881;images/ContradaMaestraBarberad'Asti2022.png;https://images.vivino.com/thumbs/ijI9UdwYTDuLfaCIUqrOPA_pb_x600.png
Barbera 2022;https://www.vivino.com/IT/en/noi-vignaioli-piemontesi-barbera-2022/w/3533496;images/Barbera2022.png;https://images.vivino.com/thumbs/r-d5BwcDTl2TBTUWFlLFWQ_150x200.jpg
Dolcetto 2022;https://www.vivino.com/IT/en/noi-vignaioli-piemontesi-dolcetto-2022/w/6674341;images/Dolcetto2022.png;https://images.vivino.com/thumbs/weyawtEpSNe4zm76vFs7Cg_pb_x600.png
Prima Mossa Barbera Piemonte 2022;https://www.vivino.com/IT/en/cantine-povero-asti-prima-mossa-barbera-piemonte-2022/w/6364877;images/PrimaMossaBarberaPiemonte2022.png;https://images.vivino.com/thumbs/ABvIHTO6QGyQCGUAwRLjnA_pb_x600.png
Capitano del Palio Dolcetto Monferrato 2022;https://www.vivino.com/IT/en/cantine-povero-asti-capitano-del-palio-monferrato-dolcetto-red-wine-v-am9aq-2022/w/4573128;images/CapitanodelPalioDolcettoMonferrato2022.png;https://images.vivino.com/thumbs/CRVTOVvoRbaLQNwknTDkZg_pb_x600.png
Corsiero Biondo Cortese dell'Alto Monferrato 2022;https://www.vivino.com/IT/en/cantine-povero-asti-corsiero-biondo-cortese-dell-alto-monferrato-2022/w/2596995;images/CorsieroBiondoCortesedell'AltoMonferrato2022.png;https://images.vivino.com/thumbs/1uj50nptQaq4okjNmY59Rw_pb_x600.png
La Gavardina Bonarda Piemonte Frizzante 2022;https://www.vivino.com/IT/en/cantine-povero-asti-piemonte-bonarda-la-gavardina-frizzante-2022/w/4904693;images/LaGavardinaBonardaPiemonteFrizzante2022.png;https://images.vivino.com/thumbs/FGzP_hDIQGCXnVx-uVis6Q_pb_x600.png
Saraceno Dolcetto d'Alba 2022;https://www.vivino.com/IT/en/baracco-de-baracho-saraceno-dolcetto-d-alba-2022/w/2088088;images/SaracenoDolcettod'Alba2022.png;https://images.vivino.com/thumbs/4DLkbwroSlCxHvvGTxoTJg_pb_x600.png
