Wine,link,Link_wine,image_link,image_names
Bolgheri Rosso 1998,https://www.vivino.com/IT/en/le-macchiole-bolgheri-rosso-1998/w/16417,https://www.wine-searcher.com/find/le+macchiole+bolgheri+rosso/1998/#t4,https://images.vivino.com/thumbs/vqcwf45nRNaD4vjtfeD-RQ_pb_x600.png,BolgheriRosso1998.png
Brunello di Montalcino Riserva 2010,https://www.vivino.com/IT/en/cupano-brunello-di-montalcino-riserva-2010/w/1810496,https://www.wine-searcher.com/find/cupano+brunello+di+montalcino+riserva/2010/#t4,https://images.vivino.com/thumbs/LQwoyH7QSIa3jCPP42e2_w_pb_x600.png,BrunellodiMontalcinoRiserva2010.png
Tenuta Tignanello 'Solaia' 2006,https://www.vivino.com/IT/en/antinori-tuscany-marchesi-antinori-tenuta-tignanello-solaia-2006/w/1651,https://www.wine-searcher.com/find/antinori+tuscany+marchesi+antinori+tenuta+tignanello+solaia/2006/#t4,https://images.vivino.com/thumbs/fJfjGhCtQ_KAuvvN3aVDJA_pb_x600.png,TenutaTignanello'Solaia'2006.png
Tenuta Tignanello 'Solaia' 1997,https://www.vivino.com/IT/en/antinori-tuscany-marchesi-antinori-tenuta-tignanello-solaia-1997/w/1651,https://www.wine-searcher.com/find/antinori+tuscany+marchesi+antinori+tenuta+tignanello+solaia/1997/#t4,https://images.vivino.com/thumbs/fJfjGhCtQ_KAuvvN3aVDJA_pb_x600.png,TenutaTignanello'Solaia'1997.png
Brunello di Montalcino 2006,https://www.vivino.com/IT/en/poggio-di-sotto-brunello-di-montalcino-2006/w/83173,https://www.wine-searcher.com/find/poggio+di+sotto+brunello+di+montalcino/2006/#t4,https://images.vivino.com/thumbs/84Zp5lVOQ7mAUjJk_tYDwA_pb_x600.png,BrunellodiMontalcino2006.png
Cerretalto Brunello di Montalcino 2007,https://www.vivino.com/IT/en/casanova-di-neri-cerretalto-brunello-di-montalcino-2007/w/81836,https://www.wine-searcher.com/find/casanova+di+neri+cerretalto+brunello+di+montalcino/2007/#t4,https://images.vivino.com/thumbs/95X8zBWZSEuc79SUu9R2qA_pb_x600.png,CerretaltoBrunellodiMontalcino2007.png
Riserva Ducale Oro Chianti Classico (Gran Selezione Gold) 1980,https://www.vivino.com/IT/en/ruffino-riserva-ducale-oro-chianti-classico-gran-selezione-gold-1980/w/1231421,https://www.wine-searcher.com/find/ruffino+riserva+ducale+oro+chianti+classico+gran+selezione+gold/1980/#t4,https://images.vivino.com/thumbs/1Zm-dCKKSIel4Wf49Zo4sA_pb_x600.png,RiservaDucaleOroChiantiClassico(GranSelezioneGold)1980.png
Brunello di Montalcino 2018,https://www.vivino.com/IT/en/soldera-brunello-di-montalcino-2018/w/5408508,https://www.wine-searcher.com/find/soldera+brunello+di+montalcino/2018/#t4,https://images.vivino.com/thumbs/49seY3K7Rv6tc8RwWwu_hw_pb_x600.png,BrunellodiMontalcino2018.png
Schidione lll Millennio 1997,https://www.vivino.com/IT/en/jacopo-biondi-santi-schidione-lll-millennio-1997/w/2322250,https://www.wine-searcher.com/find/jacopo+biondi+santi+schidione+lll+millennio/1997/#t4,https://images.vivino.com/thumbs/u0xIq4PAQSO4NYt-TsjmwQ_pb_x600.png,SchidionelllMillennio1997.png
Migliara Syrah 2006,https://www.vivino.com/IT/en/tenimenti-d-alessandro-migliara-syrah-2006/w/1209957,https://www.wine-searcher.com/find/tenimenti+d+alessandro+migliara+syrah/2006/#t4,https://images.vivino.com/thumbs/i6LWaphISO2zjLaGS6HO5w_pb_x600.png,MigliaraSyrah2006.png
Brunello di Montalcino Riserva 2008,https://www.vivino.com/IT/en/soldera-brunello-di-montalcino-riserva-2008/w/1174525,https://www.wine-searcher.com/find/soldera+brunello+di+montalcino+riserva/2008/#t4,https://images.vivino.com/thumbs/l_eXmV1KTdGzz3ky_Qey3A_pb_x600.png,BrunellodiMontalcinoRiserva2008.png
Persante Brunello di Montalcino 2017,https://www.vivino.com/IT/en/la-rasina-persante-brunello-di-montalcino-2017/w/9739873,https://www.wine-searcher.com/find/la+rasina+persante+brunello+di+montalcino/2017/#t4,https://images.vivino.com/thumbs/EJ2yFHYLQOCHMfGlpujWDw_pb_x600.png,PersanteBrunellodiMontalcino2017.png
Pieve Santa Restituta Rennina Brunello di Montalcino 1991,https://www.vivino.com/IT/en/gaja-pieve-santa-restituta-rennina-brunello-di-montalcino-1991/w/2430168,https://www.wine-searcher.com/find/gaja+pieve+santa+restituta+rennina+brunello+di+montalcino/1991/#t4,https://images.vivino.com/thumbs/SqnYqZ2uRuqLpUtbxMCicA_pb_x600.png,PieveSantaRestitutaRenninaBrunellodiMontalcino1991.png
SummuS 1995,https://www.vivino.com/IT/en/banfi-summus-1995/w/1133671,https://www.wine-searcher.com/find/banfi+summus/1995/#t4,https://images.vivino.com/thumbs/MRzz6yUUQH-Hyb5JW9kT3w_pb_x600.png,SummuS1995.png
Sasso Bucato 2019,https://www.vivino.com/IT/en/it-russo-sasso-bucato-2019/w/1870478,https://www.wine-searcher.com/find/it+russo+sasso+bucato/2019/#t4,https://images.vivino.com/thumbs/NDCcsi4VRjOpgk4IBUufSg_pb_x600.png,SassoBucato2019.png
Sangioveto di Toscana 1985,https://www.vivino.com/IT/en/badia-a-coltibuono-sangioveto-di-toscana-1985/w/6284,https://www.wine-searcher.com/find/badia+a+coltibuono+sangioveto+di+toscana/1985/#t4,https://images.vivino.com/thumbs/40dl1-uNQ_SJ7YiE-2VNwA_pb_x600.png,SangiovetodiToscana1985.png
Il Guercio 2021,https://www.vivino.com/IT/en/tenuta-di-carleone-il-guercio-2021/w/6397008,https://www.wine-searcher.com/find/tenuta+di+carleone+il+guercio/2021/#t4,https://images.vivino.com/thumbs/ReTOnDpDS32oC3hkbZPYWg_pb_x600.png,IlGuercio2021.png
Brunello di Montalcino 2016,https://www.vivino.com/IT/en/terralsole-brunello-di-montalcino-2016/w/95902,https://www.wine-searcher.com/find/terralsole+brunello+di+montalcino/2016/#t4,https://images.vivino.com/thumbs/8QfRWZmORhqpMqF5F0Jfhg_pb_x600.png,BrunellodiMontalcino2016.png
Toscana Poggio Ai Merli 2014,https://www.vivino.com/IT/en/castellare-di-castellina-toscana-poggio-ai-merli-2014/w/11735,https://www.wine-searcher.com/find/castellare+di+castellina+toscana+poggio+ai+merli/2014/#t4,https://images.vivino.com/thumbs/izqY4qsnQs6saGFEpZ2L_w_pb_x600.png,ToscanaPoggioAiMerli2014.png
Riserva Brunello di Montalcino 2015,https://www.vivino.com/IT/en/terralsole-riserva-brunello-di-montalcino-2015/w/95909,https://www.wine-searcher.com/find/terralsole+riserva+brunello+di+montalcino/2015/#t4,https://images.vivino.com/thumbs/WVKo6uUhSRKO9Ce2uhwh_w_pb_x600.png,RiservaBrunellodiMontalcino2015.png
Brunello di Montalcino 2013,https://www.vivino.com/IT/en/poggio-antico-brunello-di-montalcino-2013/w/10151,https://www.wine-searcher.com/find/poggio+antico+brunello+di+montalcino/2013/#t4,https://images.vivino.com/thumbs/v46C7ou-RCqcVTUTRpy3Yw_pb_x600.png,BrunellodiMontalcino2013.png
Le Stanze Toscana 1999,https://www.vivino.com/IT/en/azienda-agricola-poliziano-le-stanze-toscana-1999/w/18796,https://www.wine-searcher.com/find/azienda+agricola+poliziano+le+stanze+toscana/1999/#t4,https://images.vivino.com/thumbs/Cz_TuSzuSaOtNoBm2OjJvQ_pb_x600.png,LeStanzeToscana1999.png
Colli Della Toscana Centrale Cignale 1995,https://www.vivino.com/IT/en/castello-di-querceto-colli-della-toscana-centrale-cignale-1995/w/15627,https://www.wine-searcher.com/find/castello+di+querceto+colli+della+toscana+centrale+cignale/1995/#t4,https://images.vivino.com/thumbs/fV9CLxEbQZ6QF_i7j1Ud3Q_pb_x600.png,ColliDellaToscanaCentraleCignale1995.png
Brunello di Montalcino 2008,https://www.vivino.com/IT/en/winery-il-pinino-brunello-di-montalcino-2008/w/99692,https://www.wine-searcher.com/find/winery+il+pinino+brunello+di+montalcino/2008/#t4,https://images.vivino.com/thumbs/FOMW5O1jROGOS0G2RXa2uA_pb_x600.png,BrunellodiMontalcino2008.png
Brunello di Montalcino 2002,https://www.vivino.com/IT/en/col-d-orcia-brunello-di-montalcino-2002/w/73468,https://www.wine-searcher.com/find/col+d+orcia+brunello+di+montalcino/2002/#t4,https://images.vivino.com/thumbs/e0-o537xSwyW1l6uxWGRqA_pb_x600.png,BrunellodiMontalcino2002.png
Salco Evoluzione 2004,https://www.vivino.com/IT/en/salcheto-salco-evoluzione-2004/w/1972913,https://www.wine-searcher.com/find/salcheto+salco+evoluzione/2004/#t4,https://images.vivino.com/thumbs/W3qMhcijTEmj-p4p7B5Qrg_pb_x600.png,SalcoEvoluzione2004.png
Brunello Di Montalcino Riserva 2001,https://www.vivino.com/IT/en/caparzo-brunello-di-montalcino-riserva-2001/w/1143764,https://www.wine-searcher.com/find/caparzo+brunello+di+montalcino+riserva/2001/#t4,https://images.vivino.com/thumbs/hz10PrZhTjmSpe8NAaeKew_pb_x600.png,BrunelloDiMontalcinoRiserva2001.png
Vino Nobile di Montepulciano Riserva 2004,https://www.vivino.com/IT/en/podere-boscarelli-vino-nobile-di-montepulciano-riserva-vino-nobile-di-montepulciano-2004/w/5778393,https://www.wine-searcher.com/find/podere+boscarelli+vino+nobile+di+montepulciano+riserva+vino+nobile+di+montepulciano/2004/#t4,https://images.vivino.com/thumbs/c7Fok7AzSRKotfVbjLSZ4g_pb_x600.png,VinoNobilediMontepulcianoRiserva2004.png
Varco Brunello di Montalcino 2010,https://www.vivino.com/IT/en/molino-di-sant-antimo-varco-brunello-di-montalcino-2010/w/2654845,https://www.wine-searcher.com/find/molino+di+sant+antimo+varco+brunello+di+montalcino/2010/#t4,https://images.vivino.com/thumbs/pXgFLi5-RjOuhQbWe0fcHQ_pb_x600.png,VarcoBrunellodiMontalcino2010.png
Vino Nobile di Montepulciano Il Nocio 2005,https://www.vivino.com/IT/en/podere-boscarelli-vino-nobile-di-montepulciano-il-nocio-2005/w/1239321,https://www.wine-searcher.com/find/podere+boscarelli+vino+nobile+di+montepulciano+il+nocio/2005/#t4,https://images.vivino.com/thumbs/02fRERw6QbSn8sVQDLiqJw_pb_x600.png,VinoNobilediMontepulcianoIlNocio2005.png
Toscana de Ferrari 2006,https://www.vivino.com/IT/en/podere-boscarelli-toscana-de-ferrari-2006/w/22697,https://www.wine-searcher.com/find/podere+boscarelli+toscana+de+ferrari/2006/#t4,https://images.vivino.com/thumbs/i7sFu-ZER-mMlhWVOIYeDQ_pb_x600.png,ToscanadeFerrari2006.png
Brunello di Montalcino 2017,https://www.vivino.com/IT/en/sestadisopra-brunello-di-montalcino-2017/w/89190,https://www.wine-searcher.com/find/sestadisopra+brunello+di+montalcino/2017/#t4,https://images.vivino.com/thumbs/pqmGEAzOSZeLxY7HA7lGBQ_pb_x600.png,BrunellodiMontalcino2017.png
Tenute del Barone 2009,https://www.vivino.com/IT/en/de-ladoucette-tenute-del-barone-2009/w/1247627,https://www.wine-searcher.com/find/de+ladoucette+tenute+del+barone/2009/#t4,https://images.vivino.com/thumbs/BUN7hfAJRJq5lTRonDOf1Q_pb_x600.png,TenutedelBarone2009.png
Guado de' Gemoli 2017,https://www.vivino.com/IT/en/giovanni-chiappini-guado-de-gemoli-2017/w/1253160,https://www.wine-searcher.com/find/giovanni+chiappini+guado+de+gemoli/2017/#t4,https://images.vivino.com/thumbs/Cq6wlOYnQu6IrblvCxsu6A_pb_x600.png,Guadode'Gemoli2017.png
Brunello di Montalcino 1983,https://www.vivino.com/IT/en/fattoria-dei-barbi-brunello-di-montalcino-1983/w/54214,https://www.wine-searcher.com/find/fattoria+dei+barbi+brunello+di+montalcino/1983/#t4,https://images.vivino.com/thumbs/68HJ6fI1QPq1KygYaRyjqQ_pb_x600.png,BrunellodiMontalcino1983.png
